dataKubun,UDD035Code,Code,,,,,外部出力データ区分,A
dataOutputKaishiYMDHMS,UDD018YMDHMS,YMDHMS,,,,,データ出力開始年月日時分秒,A
dataOutputShuryoYMDHMS,UDD018YMDHMS,YMDHMS,,,,,データ出力終了年月日時分秒,A
