dataKubun,UDD035Code,Code,,,,,データ区分,A
dataOutputKaishiYMDHM,UDD017YMDHM,YMDHM,,,,,データ出力開始年月日時分,A
dataOutputShuryoYMDHM,UDD017YMDHM,YMDHM,,,,,データ出力終了年月日時分,A
