zeiritsu,int2,int,,,,,税率,A
zeiritsuKaishiYMD,UDD015YMD,FlexibleDate,,,,,開始年月,A
zeiritsuShuryoYMD,UDD015YMD,FlexibleDate,,,,,終了年月,A
